epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.20702634751796722,32.991416931152344,0.0005,0.06265664100646973,28.569164276123047
1,0.22459222376346588,27.648202896118164,0.0005,0.06766917556524277,27.244564056396484
2,0.20953576266765594,23.98481559753418,0.0005,0.19298245012760162,25.422990798950195
3,0.22459222376346588,21.132570266723633,0.0005,0.12781955301761627,23.32460594177246
4,0.1919698864221573,18.812515258789062,0.0005,0.22807016968727112,21.41324234008789
5,0.23212045431137085,16.743711471557617,0.0005,0.20551379024982452,19.027978897094727
6,0.24592220783233643,14.920923233032227,0.0005,0.22055137157440186,16.857389450073242
7,0.2496863305568695,13.463698387145996,0.0005,0.22807016968727112,15.111138343811035
8,0.20326223969459534,12.102203369140625,0.0005,0.2380952388048172,13.629013061523438
9,0.2697615921497345,10.70421028137207,0.0005,0.2631579041481018,12.255846977233887
10,0.2107904702425003,9.591023445129395,0.0005,0.2631579041481018,11.454766273498535
11,0.2496863305568695,8.50447940826416,0.0005,0.24812030792236328,10.198534965515137
12,0.25094103813171387,7.529453754425049,0.0005,0.24812030792236328,9.316604614257812
13,0.2496863305568695,6.638788223266602,0.0005,0.20802004635334015,8.574241638183594
14,0.2760351300239563,5.86391544342041,0.0005,0.25563910603523254,7.89708137512207
15,0.28356337547302246,5.159261703491211,0.0005,0.26566416025161743,7.4123358726501465
16,0.2697615921497345,4.571770668029785,0.0005,0.24060150980949402,6.984074592590332
17,0.2760351300239563,4.013989448547363,0.0005,0.25814536213874817,6.192924499511719
18,0.32245922088623047,3.509302854537964,0.0005,0.20551379024982452,6.406003475189209
19,0.2823086678981781,3.0837509632110596,0.0005,0.19298245012760162,5.378384113311768
20,0.30614805221557617,2.766651153564453,0.0005,0.2380952388048172,4.517377853393555
21,0.28732746839523315,2.4666996002197266,0.0005,0.2857142984867096,3.879185914993286
22,0.3023839294910431,2.1934077739715576,0.0005,0.2832080125808716,3.3218789100646973
23,0.29987454414367676,2.0209641456604004,0.0005,0.2731829583644867,2.799741268157959
24,0.30614805221557617,1.818755865097046,0.0005,0.2832080125808716,2.5636789798736572
25,0.30740275979042053,1.6816965341567993,0.0005,0.25313282012939453,2.130481719970703
26,0.30991217494010925,1.5846991539001465,0.0005,0.23558896780014038,1.9152082204818726
27,0.28481805324554443,1.5108168125152588,0.0005,0.24310776591300964,1.8390190601348877
28,0.3086574673652649,1.4683901071548462,0.0005,0.24060150980949402,1.9475518465042114
29,0.2986198365688324,1.436378836631775,0.0005,0.2731829583644867,1.7226672172546387
30,0.317440390586853,1.4238307476043701,0.0005,0.2882205545902252,1.9089664220809937
31,0.33249685168266296,1.3888449668884277,0.0005,0.30075186491012573,1.6624988317489624
32,0.30112922191619873,1.3792109489440918,0.0005,0.2832080125808716,1.5261650085449219
33,0.3086574673652649,1.35739004611969,0.0005,0.2882205545902252,1.650875210762024
34,0.30112922191619873,1.362906813621521,0.0005,0.30075186491012573,1.5924640893936157
35,0.3249686360359192,1.3434021472930908,0.0005,0.30075186491012573,1.4713194370269775
36,0.3412798047065735,1.3329535722732544,0.0005,0.308270663022995,1.5193328857421875
37,0.312421590089798,1.3341076374053955,0.0005,0.308270663022995,1.783834457397461
38,0.32622334361076355,1.3202738761901855,0.0005,0.30075186491012573,1.588850498199463
39,0.3186950981616974,1.3212577104568481,0.0005,0.30325815081596375,1.4711838960647583
40,0.317440390586853,1.3007636070251465,0.0005,0.30075186491012573,1.55109441280365
41,0.3350062668323517,1.3053652048110962,0.0005,0.30576440691947937,1.5300146341323853
42,0.3212045133113861,1.306832194328308,0.0005,0.29072681069374084,1.5798932313919067
43,0.33249685168266296,1.2915027141571045,0.00035000002,0.29072681069374084,1.6708383560180664
44,0.3186950981616974,1.2883731126785278,0.00035000002,0.30325815081596375,1.5048773288726807
45,0.33626097440719604,1.2850067615509033,0.00035000002,0.2957393527030945,1.5378185510635376
46,0.32371392846107483,1.2553114891052246,0.00035000002,0.29323309659957886,1.5475797653198242
47,0.3437892198562622,1.2712371349334717,0.00035000002,0.23558896780014038,1.676831603050232
48,0.33877038955688477,1.2643793821334839,0.00035000002,0.2606516182422638,1.720341444015503
49,0.34253451228141785,1.2425224781036377,0.00035000002,0.2255639135837555,1.8250868320465088
50,0.3412798047065735,1.241538405418396,0.000245,0.25313282012939453,1.6420496702194214
